purity_threshold,train_episodes,train_ratio,train_diversity,train_regime_dist,val_episodes,val_ratio,val_diversity,val_regime_dist,test_episodes,test_ratio,test_diversity,test_regime_dist
0.6,2347,0.6864580286633518,0.3143311229017175,"{0: 22, 1: 1928, 2: 0, 3: 397, 4: 0}",369,0.5040983606557377,0.20837239326768525,"{0: 0, 1: 339, 2: 19, 3: 11, 4: 0}",698,0.9509536784741145,-6.213349859380281e-11,"{0: 0, 1: 0, 2: 0, 3: 698, 4: 0}"
0.65,2216,0.6481427317929219,0.28959653193854173,"{0: 4, 1: 1839, 2: 0, 3: 373, 4: 0}",312,0.4262295081967213,-6.213349859380281e-11,"{0: 0, 1: 312, 2: 0, 3: 0, 4: 0}",681,0.9277929155313351,-6.213349859380281e-11,"{0: 0, 1: 0, 2: 0, 3: 681, 4: 0}"
0.7,2110,0.6171395144779175,0.28339806234204995,"{0: 0, 1: 1751, 2: 0, 3: 359, 4: 0}",287,0.39207650273224043,-6.213349859380281e-11,"{0: 0, 1: 287, 2: 0, 3: 0, 4: 0}",638,0.8692098092643051,-6.213349859380281e-11,"{0: 0, 1: 0, 2: 0, 3: 638, 4: 0}"
0.75,2016,0.5896460953495174,0.2891782520613184,"{0: 0, 1: 1661, 2: 0, 3: 355, 4: 0}",257,0.3510928961748634,-6.213349859380281e-11,"{0: 0, 1: 257, 2: 0, 3: 0, 4: 0}",606,0.8256130790190735,-6.213349859380281e-11,"{0: 0, 1: 0, 2: 0, 3: 606, 4: 0}"
0.8,1787,0.5226674466218193,0.2817144723685851,"{0: 0, 1: 1486, 2: 0, 3: 301, 4: 0}",176,0.24043715846994534,-6.213349859380281e-11,"{0: 0, 1: 176, 2: 0, 3: 0, 4: 0}",589,0.8024523160762943,-6.213349859380281e-11,"{0: 0, 1: 0, 2: 0, 3: 589, 4: 0}"
0.85,1572,0.4597835624451594,0.29530071710496597,"{0: 0, 1: 1285, 2: 0, 3: 287, 4: 0}",114,0.1557377049180328,-6.213349859380281e-11,"{0: 0, 1: 114, 2: 0, 3: 0, 4: 0}",539,0.7343324250681199,-6.213349859380281e-11,"{0: 0, 1: 0, 2: 0, 3: 539, 4: 0}"
0.9,1444,0.4223457151213805,0.3080327385748105,"{0: 0, 1: 1160, 2: 0, 3: 284, 4: 0}",88,0.12021857923497267,-6.213349859380281e-11,"{0: 0, 1: 88, 2: 0, 3: 0, 4: 0}",491,0.6689373297002725,-6.213349859380281e-11,"{0: 0, 1: 0, 2: 0, 3: 491, 4: 0}"
